,title,aliases,rank_display,rank,country,region,Total_Students_x,Total_Students_y,Total_Faculty_x,Total_Faculty_y,Faculty/Student_ratio_x,Faculty/Student_ratio_y,International_Students_x,International_Students_y,Inter/Total_student_ratio_x,Inter/Total_student_ratio_y,International_Faculty_x,International_Faculty_y
116,Technical University of Denmark,Technical University of Denmark,=116,=153,Denmark,Europe,8878.0,8548,2117.0,1424.0,0.23845460689344447,0.16666666666666666,2098.0,2051.0,0.23631448524442442,0.24,966.0,
117,"University of California, Davis","University of California, Davis",118,=54,United States,North America,34244.0,37365,3843.0,2707.0,0.11222403924775143,0.07246376811594203,4529.0,3736.0,0.1322567457072772,0.1,549.0,
118,Aarhus University,Aarhus University,119,=109,Denmark,Europe,26226.0,25167,2316.0,1759.0,0.08830931137039578,0.06993006993006992,3762.0,3020.0,0.14344543582704186,0.12,602.0,
125,Ghent University,Ghent University,=125,107,Belgium,Europe,35968.0,35909,2520.0,1000.0,0.07006227758007118,0.02785515320334262,3766.0,3590.0,0.10470418149466192,0.1,482.0,
126,Queen Mary University of London,Queen Mary University of London,127,121,United Kingdom,Europe,16135.0,15405,1885.0,1158.0,0.11682677409358537,0.07518796992481203,6806.0,6932.0,0.42181592810660057,0.45,801.0,
128,"University of Maryland, College Park","University of Maryland, College Park",129,69,United States,North America,35504.0,31772,3920.0,1925.0,0.11041009463722397,0.06060606060606061,4683.0,3177.0,0.1319006309148265,0.1,473.0,
129,Université de Montréal,University of Montreal,130,108,Canada,North America,39112.0,41017,2961.0,1872.0,0.07570566578032317,0.04566210045662101,9688.0,9023.0,0.24769891593372878,0.22,1037.0,
130,Université Pierre et Marie Curie (UPMC),Pierre and Marie Curie University,131,=123,France,Europe,24305.0,25117,2273.0,2042.0,0.09351985188232874,0.08130081300813008,4213.0,5023.0,0.17333881917300967,0.2,253.0,
131,University of Southern California,University of Southern California,132,66,United States,North America,38749.0,38380,3124.0,2998.0,0.08062143539188107,0.078125,9170.0,8827.0,0.2366512684198302,0.23,551.0,
133,"University of California, Santa Barbara (UCSB)","University of California, Santa Barbara",134,53,United States,North America,23149.0,23054,1449.0,820.0,0.06259449652252796,0.03558718861209964,2128.0,3227.0,0.09192621711521017,0.14,267.0,
134,Lancaster University,Lancaster University,=135,=150,United Kingdom,Europe,12300.0,11637,1245.0,888.0,0.10121951219512196,0.07633587786259542,4464.0,4422.0,0.36292682926829267,0.38,435.0,
135,University of York,University of York,=135,=137,United Kingdom,Europe,15999.0,14962,1833.0,990.0,0.11456966060378773,0.06622516556291391,3364.0,4039.0,0.2102631414463404,0.27,636.0,
136,Cardiff University,Cardiff University,=137,=162,United Kingdom,Europe,24565.0,24186,2755.0,1791.0,0.11215143496845105,0.07407407407407407,6090.0,6288.0,0.24791369835131286,0.26,705.0,
138,Aalto University,Aalto University,=137,190,Finland,Europe,12147.0,12744,1257.0,630.0,0.10348234131884416,0.04950495049504951,1831.0,2548.0,0.1507368074421668,0.2,370.0,
139,McMaster University,McMaster University,140,78,Canada,North America,23702.0,23693,3231.0,959.0,0.13631761032824236,0.04048582995951417,3548.0,3553.0,0.149692009113155,0.15,1170.0,
140,RWTH Aachen University,RWTH Aachen University,141,79,Germany,Europe,44517.0,43721,3176.0,757.0,0.07134353168452501,0.01733102253032929,8556.0,7869.0,0.19219623963878968,0.18,449.0,
141,University of Pittsburgh,University of Pittsburgh,=142,=100,United States,North America,26393.0,26367,4982.0,4468.0,0.18876217178797408,0.1694915254237288,2937.0,2636.0,0.11127950592960255,0.1,572.0,
142,University of Oslo,University of Oslo,=142,146,Norway,Europe,24304.0,27730,2509.0,1490.0,0.10323403554970376,0.05376344086021505,3667.0,5268.0,0.15088051349572087,0.19,711.0,
145,University of Lausanne,University of Lausanne,146,152,Switzerland,Europe,13435.0,13065,2173.0,960.0,0.1617417193896539,0.07352941176470588,3337.0,3266.0,0.24838109415705248,0.25,1031.0,
146,Erasmus University Rotterdam,Erasmus University Rotterdam,=147,=72,Netherlands,Europe,23273.0,22047,2011.0,1096.0,0.08640914364284794,0.04975124378109452,5229.0,4409.0,0.22468096076999097,0.2,458.0,
147,Emory University,Emory University,=147,98,United States,North America,12852.0,12649,2560.0,2874.0,0.19919078742608154,0.22727272727272727,2154.0,2403.0,0.1676003734827264,0.19,484.0,
148,University of Basel,University of Basel,=149,=95,Switzerland,Europe,12852.0,12729,1057.0,719.0,0.08224400871459694,0.05649717514124294,3441.0,3436.0,0.2677404295051354,0.27,684.0,
149,Michigan State University,Michigan State University,=149,=83,United States,North America,44951.0,44556,2884.0,2620.0,0.06415875063958533,0.058823529411764705,7427.0,7574.0,0.16522435540922337,0.17,653.0,
152,Université catholique de Louvain (UCL),Université Catholique de Louvain,153,129,Belgium,Europe,24277.0,24451,1219.0,646.0,0.050212134942538206,0.026455026455026457,4468.0,4645.0,0.1840425093710096,0.19,406.0,
153,University of Vienna,University of Vienna,154,=165,Austria,Europe,45967.0,35375,3411.0,1700.0,0.07420540822764157,0.04807692307692307,14468.0,9197.0,0.3147475362760241,0.26,1400.0,
156,École Normale Supérieure de Lyon,École Normale Supérieure de Lyon,157,=182,France,Europe,2020.0,2221,382.0,261.0,0.1891089108910891,0.11764705882352941,221.0,288.0,0.1094059405940594,0.13,91.0,
157,University of Aberdeen,University of Aberdeen,=158,185,United Kingdom,Europe,12005.0,12055,1310.0,867.0,0.10912119950020825,0.07194244604316546,4246.0,4339.0,0.353685964181591,0.36,508.0,
158,The University of Exeter,University of Exeter,=158,=130,United Kingdom,Europe,20749.0,19159,1756.0,1094.0,0.08463058460648706,0.05714285714285714,5504.0,5364.0,0.2652657959419731,0.28,597.0,
160,Newcastle University,Newcastle University,=161,=175,United Kingdom,Europe,21673.0,20952,2428.0,1343.0,0.11202879158399852,0.06410256410256411,5717.0,6285.0,0.26378443224288284,0.3,835.0,
162,University of Minnesota,University of Minnesota,163,=56,United States,North America,59742.0,60949,4919.0,3502.0,0.0823373840848984,0.0574712643678161,6542.0,6704.0,0.10950420139935053,0.11,195.0,
164,"University of California, Irvine","University of California, Irvine",=164,99,United States,North America,32151.0,30419,1926.0,1789.0,0.059904824111225156,0.058823529411764705,8538.0,6387.0,0.2655593916207894,0.21,377.0,
166,University of Bern,University of Bern,167,=105,Switzerland,Europe,10758.0,10449,1172.0,633.0,0.10894218256181447,0.06060606060606061,1618.0,1567.0,0.15039970254694182,0.15,661.0,
168,Dartmouth College,Dartmouth College,169,89,United States,North America,6224.0,6100,939.0,924.0,0.1508676092544987,0.15151515151515152,945.0,915.0,0.15183161953727506,0.15,27.0,
173,University of Liverpool,University of Liverpool,=173,=177,United Kingdom,Europe,22065.0,19815,2390.0,1693.0,0.1083163380920009,0.08547008547008547,7502.0,6935.0,0.33999546793564467,0.35,717.0,
174,University of Virginia,University of Virginia,=173,=113,United States,North America,21560.0,24055,2509.0,2479.0,0.11637291280148424,0.10309278350515465,1899.0,2886.0,0.08807977736549165,0.12,487.0,
177,University of Florida,University of Florida,178,=143,United States,North America,45485.0,46346,5419.0,2648.0,0.11913817742112784,0.05714285714285714,4597.0,4171.0,0.1010662855886556,0.09,504.0,
179,University of Twente,University of Twente,=179,=179,Netherlands,Europe,9332.0,6697,910.0,523.0,0.09751393056150878,0.078125,2235.0,1808.0,0.23949849978568366,0.27,299.0,
180,University of Göttingen,University of Göttingen,181,=113,Germany,Europe,30402.0,28554,3678.0,1023.0,0.12097888296822577,0.03584229390681004,3736.0,3426.0,0.1228866521939346,0.12,641.0,
181,Vrije Universiteit Brussel (VUB),Université Libre de Bruxelles,=182,=175,Belgium,Europe,9284.0,25343,1792.0,583.0,0.1930202498922878,0.02304147465437788,1853.0,8870.0,0.19959069366652304,0.35,515.0,
183,University of Colorado Boulder,University of Colorado Boulder,=182,=100,United States,North America,30219.0,30780,3685.0,1888.0,0.12194314835037559,0.06134969325153374,2679.0,3078.0,0.08865283430954035,0.1,566.0,
185,University of Rochester,University of Rochester,186,=153,United States,North America,9636.0,9636,2569.0,2240.0,0.266604400166044,0.23255813953488372,2805.0,2794.0,0.2910958904109589,0.29,488.0,
190,University of Cape Town,University of Cape Town,191,171,South Africa,Africa,19593.0,20775,1733.0,1775.0,0.0884499566171592,0.08547008547008547,3325.0,3739.0,0.1697034655234012,0.18,379.0,
191,Scuola Normale Superiore di Pisa,Scuola Normale Superiore di Pisa,=192,184,Italy,Europe,532.0,515,86.0,99.0,0.16165413533834586,0.1923076923076923,48.0,36.0,0.09022556390977443,0.07,1.0,
192,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,Scuola Superiore Sant’Anna,=192,=155,Italy,Europe,789.0,690,119.0,58.0,0.15082382762991128,0.08547008547008547,135.0,96.0,0.17110266159695817,0.14,1.0,
194,Stockholm University,Stockholm University,=195,=134,Sweden,Europe,28281.0,33156,2154.0,1331.0,0.07616420918637955,0.040160642570281124,2636.0,2652.0,0.09320745376754712,0.08,646.0,
196,Texas A&M University,Texas A&M University,=195,=159,United States,North America,60294.0,56245,3446.0,2383.0,0.05715328225030683,0.0423728813559322,4900.0,5062.0,0.08126845125551464,0.09,206.0,
198,Maastricht University,Maastricht University,200,103,Netherlands,Europe,16385.0,16727,1277.0,929.0,0.07793713762587733,0.05555555555555555,8234.0,8363.0,0.5025328043942631,0.5,502.0,
